
🔴  移动央视IPTV,#genre#
CCTV-7 军事,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226678/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-7 军事,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226678/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-8 电视剧,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8?icpid=88888888&servicetype=1
CCTV-8 电视剧,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226687/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-8 电视剧,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-9 纪录,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8?icpid=88888888&servicetype=1
CCTV-9 纪录,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226726/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-9 纪录,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-10 科教,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8?icpid=88888888&servicetype=1
CCTV-10 科教,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226528/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-10 科教,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226528/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-11 戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8?icpid=88888888&servicetype=1
CCTV-11 戏曲,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226546/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-11 戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-12 社会与法,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8?icpid=88888888&servicetype=1
CCTV-12 社会与法,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226560/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-12 社会与法,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-13 新闻,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8?icpid=88888888&servicetype=1
CCTV-13 新闻,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226543/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-13 新闻,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-14 少儿,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226572/index.m3u8?icpid=88888888&servicetype=1
CCTV-14 少儿,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226572/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-14 少儿,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226572/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-15 音乐,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226590/index.m3u8?icpid=88888888&servicetype=1
CCTV-15 音乐,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226590/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-15 音乐,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226590/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-16 奥林匹克,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226597/index.m3u8?icpid=88888888&servicetype=1
CCTV-16 奥林匹克,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226597/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-16 奥林匹克,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226597/index.m3u8?icpid=88888888&servicetype=2&npt=
CCTV-17 农业军事,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226630/index.m3u8?icpid=88888888&servicetype=1
CCTV-17 农业军事,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226630/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-17 农业军事,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226630/index.m3u8?icpid=88888888&servicetype=2&npt=




🔴  移动卫视频道,#genre#

北京卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226519/index.m3u8?icpid=88888888&servicetype=1
北京卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226519/index.m3u8?icpid=88888888&servicetype=3&playseek=
北京卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226519/index.m3u8?icpid=88888888&servicetype=2&npt=
天津卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226621/index.m3u8?icpid=88888888&servicetype=1
天津卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226621/index.m3u8?icpid=88888888&servicetype=3&playseek=
天津卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226621/index.m3u8?icpid=88888888&servicetype=2&npt=
深圳卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226700/index.m3u8?icpid=88888888&servicetype=1
深圳卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226700/index.m3u8?icpid=88888888&servicetype=3&playseek=
深圳卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226700/index.m3u8?icpid=88888888&servicetype=2&npt=
重庆卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226676/index.m3u8?icpid=88888888&servicetype=1
重庆卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226676/index.m3u8?icpid=88888888&servicetype=3&playseek=
重庆卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226676/index.m3u8?icpid=88888888&servicetype=2&npt=
东方卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226681/index.m3u8?icpid=88888888&servicetype=1
东方卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226681/index.m3u8?icpid=88888888&servicetype=3&playseek=
东方卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226681/index.m3u8?icpid=88888888&servicetype=2&npt=
江苏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226722/index.m3u8?icpid=88888888&servicetype=1
江苏卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226722/index.m3u8?icpid=88888888&servicetype=3&playseek=
江苏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226722/index.m3u8?icpid=88888888&servicetype=2&npt=
浙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226682/index.m3u8?icpid=88888888&servicetype=1
浙江卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226682/index.m3u8?icpid=88888888&servicetype=3&playseek=
浙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226682/index.m3u8?icpid=88888888&servicetype=2&npt=
辽宁卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226586/index.m3u8?icpid=88888888&servicetype=1
辽宁卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226586/index.m3u8?icpid=88888888&servicetype=3&playseek=
辽宁卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226586/index.m3u8?icpid=88888888&servicetype=2&npt=
吉林卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226684/index.m3u8?icpid=88888888&servicetype=1
吉林卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226684/index.m3u8?icpid=88888888&servicetype=3&playseek=
吉林卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226684/index.m3u8?icpid=88888888&servicetype=2&npt=
黑龙江卫视,http://[2409:8087:7000:20::f]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
黑龙江卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226533/index.m3u8?icpid=88888888&servicetype=3&playseek=
黑龙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226533/index.m3u8?icpid=88888888&servicetype=1
黑龙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226533/index.m3u8?icpid=88888888&servicetype=2&npt=
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8
延边卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
河北卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226611/index.m3u8?icpid=88888888&servicetype=1
河北卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226611/index.m3u8?icpid=88888888&servicetype=3&playseek=
河北卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226611/index.m3u8?icpid=88888888&servicetype=2&npt=
河南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226639/index.m3u8?icpid=88888888&servicetype=1
河南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226639/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226639/index.m3u8?icpid=88888888&servicetype=2&npt=
山东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226564/index.m3u8?icpid=88888888&servicetype=1
山东卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226564/index.m3u8?icpid=88888888&servicetype=3&playseek="
山东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226564/index.m3u8?icpid=88888888&servicetype=2&npt=
山西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226552/index.m3u8?icpid=88888888&servicetype=1
山西卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226552/index.m3u8?icpid=88888888&servicetype=3&playseek=
山西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226552/index.m3u8?icpid=88888888&servicetype=2&npt=
安徽卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226578/index.m3u8?icpid=88888888&servicetype=1
安徽卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226578/index.m3u8?icpid=88888888&servicetype=3&playseek=
安徽卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226578/index.m3u8?icpid=88888888&servicetype=2&npt=
湖北卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226579/index.m3u8?icpid=88888888&servicetype=1
湖北卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226579/index.m3u8?icpid=88888888&servicetype=3&playseek=
湖北卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226579/index.m3u8?icpid=88888888&servicetype=2&npt=
湖南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226659/index.m3u8?icpid=88888888&servicetype=1
湖南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226659/index.m3u8?icpid=88888888&servicetype=3&playseek=
湖南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226659/index.m3u8?icpid=88888888&servicetype=2&npt=
广东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8?icpid=88888888&servicetype=1
广东卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226525/index.m3u8?icpid=88888888&servicetype=3&playseek=
广东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8?icpid=88888888&servicetype=2&npt=
广西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&servicetype=1
广西卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8?icpid=88888888&servicetype=3&playseek=
广西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&servicetype=2&npt=
江西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226594/index.m3u8?icpid=88888888&servicetype=1
江西卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226594/index.m3u8?icpid=88888888&servicetype=3&playseek=
江西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226594/index.m3u8?icpid=88888888&servicetype=2&npt=
云南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226660/index.m3u8?icpid=88888888&servicetype=1
云南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226660/index.m3u8?icpid=88888888&servicetype=3&playseek=
云南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226660/index.m3u8?icpid=88888888&servicetype=2&npt=
贵州卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
贵州卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226632/index.m3u8?icpid=88888888&servicetype=1
贵州卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226632/index.m3u8?icpid=88888888&servicetype=3&playseek=
贵州卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226632/index.m3u8?icpid=88888888&servicetype=2&npt=
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
四川卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8?icpid=88888888&servicetype=1
四川卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226573/index.m3u8?icpid=88888888&servicetype=3&playseek=
四川卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8?icpid=88888888&servicetype=2&npt=
陕西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8?icpid=88888888&servicetype=1
陕西卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226591/index.m3u8?icpid=88888888&servicetype=3&playseek=
陕西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8?icpid=88888888&servicetype=2&npt=
内蒙古卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8?icpid=88888888&servicetype=1
内蒙古卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226517/index.m3u8?icpid=88888888&servicetype=3&playseek=
内蒙古卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8?icpid=88888888&servicetype=2&npt=
宁夏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226710/index.m3u8?icpid=88888888&servicetype=1
宁夏卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226710/index.m3u8?icpid=88888888&servicetype=3&playseek=
宁夏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226710/index.m3u8?icpid=88888888&servicetype=2&npt=
甘肃卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226547/index.m3u8?icpid=88888888&servicetype=1
甘肃卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226547/index.m3u8?icpid=88888888&servicetype=3&playseek=
甘肃卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226547/index.m3u8?icpid=88888888&servicetype=2&npt=
青海卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226584/index.m3u8?icpid=88888888&servicetype=1
青海卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226584/index.m3u8?icpid=88888888&servicetype=3&playseek=
青海卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226584/index.m3u8?icpid=88888888&servicetype=2&npt=
安多卫视,http://stream.qhbtv.com/adws/playlist.m3u8
安多卫视,http://stream.qhbtv.com/adws/playlist.m3u8?_upt=739abf201649062902
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
东南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226720/index.m3u8?icpid=88888888&servicetype=1
东南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226720/index.m3u8?icpid=88888888&servicetype=3&playseek=
东南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226720/index.m3u8?icpid=88888888&servicetype=2&npt=
海南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226562/index.m3u8?icpid=88888888&servicetype=1
海南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226562/index.m3u8?icpid=88888888&servicetype=3&playseek=
海南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226562/index.m3u8?icpid=88888888&servicetype=2&npt=
厦门卫视,https://xiamenalic.v.myalicdn.com/xiamen/xiamen_1/index.m3u8
厦门卫视,http://[2409:8087:7001:20:3::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
新疆卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226657/index.m3u8?icpid=88888888&servicetype=1
新疆卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226657/index.m3u8?icpid=88888888&servicetype=3&playseek=
新疆卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226657/index.m3u8?icpid=88888888&servicetype=2&npt=
兵团卫视,https://test5.btzx.com.cn/live/2023bt.stream/playlist.m3u8
兵团卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
西藏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226669/index.m3u8?icpid=88888888&servicetype=1
西藏卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226669/index.m3u8?icpid=88888888&servicetype=3&playseek=
西藏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226669/index.m3u8?icpid=88888888&servicetype=2&npt=
大湾区卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
大湾区卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
大湾区卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8?
大湾区卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
广东珠江卫视,http://glive.grtn.cn/live/lizhi.m3u8
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
三沙卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
农林卫视,http://[2409:8087:7001:20:3::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
康巴卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8

🔴   移动央视综合,#genre#

金鹰纪实,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226668/index.m3u8?icpid=88888888&servicetype=1
金鹰纪实,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226668/index.m3u8?icpid=88888888&servicetype=3&playseek=
金鹰纪实,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226668/index.m3u8?icpid=88888888&servicetype=2&npt=
极速汽车,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8?icpid=88888888&servicetype=1
极速汽车,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226558/index.m3u8?icpid=88888888&servicetype=3&playseek=
极速汽车,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8?icpid=88888888&servicetype=2&npt=
生活时尚,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226570/index.m3u8?icpid=88888888&servicetype=1
生活时尚,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226570/index.m3u8?icpid=88888888&servicetype=3&playseek=
生活时尚,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226570/index.m3u8?icpid=88888888&servicetype=2&npt=
优漫卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226606/index.m3u8?icpid=88888888&servicetype=1
优漫卡通,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226606/index.m3u8?icpid=88888888&servicetype=3&playseek=
优漫卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226606/index.m3u8?icpid=88888888&servicetype=2&npt
动漫秀场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226608/index.m3u8?icpid=88888888&servicetype=1
动漫秀场,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226608/index.m3u8?icpid=88888888&servicetype=3&playseek=
动漫秀场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226608/index.m3u8?icpid=88888888&servicetype=2&npt=
炫动卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226596/index.m3u8?icpid=88888888&servicetype=1
炫动卡通,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226596/index.m3u8?icpid=88888888&servicetype=3&playseek=
炫动卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226596/index.m3u8?icpid=88888888&servicetype=2&npt=
卡酷动画,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226640/index.m3u8?icpid=88888888&servicetype=1
卡酷动画,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226640/index.m3u8?icpid=88888888&servicetype=3&playseek=
卡酷动画,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226640/index.m3u8?icpid=88888888&servicetype=2&npt=
金鹰卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226624/index.m3u8?icpid=88888888&servicetype=1
金鹰卡通,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226624/index.m3u8?icpid=88888888&servicetype=3&playseek=
金鹰卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226624/index.m3u8?icpid=88888888&servicetype=2&npt=
嘉佳卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226601/index.m3u8?icpid=88888888&servicetype=1
嘉佳卡通,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226601/index.m3u8?icpid=88888888&servicetype=3&playseek=
嘉佳卡通,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226601/index.m3u8?icpid=88888888&servicetype=2&npt=
